expected,sender,receiver,subject,body
Phishing,"IT Support <support.it@outlooksecurity.com>","user@company.com","URGENT: Reset Your Password","Your email has been compromised. Click the link to reset your password immediately: http://fake-reset.com"
Legitimate,"Jane Smith <jane@company.com>","john@company.com","Quarterly Report","Hi John,\n\nThe Q3 report is attached as discussed. Let me know if you have questions.\n\nThanks,\nJane"
Phishing,"CEO <ceo.office@execmail.net>","hr@company.com","Quick Favor Needed","Hi, I’m in a meeting but I need you to buy 5 Apple gift cards and send me the codes urgently. Will reimburse later."
Legitimate,"Amazon <no-reply@amazon.com>","you@gmail.com","Your Amazon Order #123456789","Thank you for your purchase. Your order will be delivered on Thursday. Track it here: https://amazon.com/orders"
Phishing,"Morkel Person <lisabake25@gmail.com>","caden@southafrica.co.za","John Doe help please","How are you doing Ivan,\nI am currently in a conference\nand I want you to take care of a very urgent task.\nSend your mobile number and wait for my Whatsapp text."
Legitimate,"Events <events@university.edu>","student@university.edu","Guest Lecture: AI & Ethics","Join us for a talk on AI ethics by Dr. Lin. RSVP by Friday. Refreshments provided."
Phishing,"Your Bank <secure@bancsecure.ru>","you@company.com","Verify Account","Unusual login detected. Click here to verify your identity: http://verify-banking.com/login"
Legitimate,"GitHub <noreply@github.com>","dev@yourdomain.com","[GitHub] New login from Chrome on Windows","There was a new sign-in to your account from a new device. If this was you, no action is needed."
Phishing,"Google Support <googIe.security.alert@gmail.com>","admin@company.com","Security Notice","A suspicious sign-in attempt was made. Visit http://secure-gogIe-login.com to secure your account."
Legitimate,"DHL <noreply@dhl.com>","customer@domain.com","Your Package is on the Way","Your parcel is scheduled to arrive tomorrow. View tracking: https://dhl.com/track"
Phishing,"Help Desk <helpdesk@company-support.com>","staff@company.com","Company Policy Update","Please open the attachment and review the new company rules. [Note: attachment contains malware]"
Legitimate,"Conference <conf@events.com>","guest@domain.com","Thanks for Registering","We received your registration for the 2024 Security Summit. See you there!"
Phishing,"HR Department <hr-dept@company-admin.net>","jane@company.com","Salary Adjustment","There is an issue with your salary. Please login and correct your bank details: http://update-payroll.com"
Legitimate,"Zoom <no-reply@zoom.us>","employee@company.com","Meeting Reminder","You have a meeting today at 3 PM with your team. Join here: https://zoom.us/meeting-id"
Phishing,"WhatsApp <no-reply@whatsapp-alerts.com>","randomuser@domain.com","Your number was used","Your number was registered on a new device. Click to verify: http://wa-check-auth.io"
Legitimate,"Support <support@apple.com>","user@icloud.com","Receipt from Apple","Your receipt from Apple for iCloud Storage upgrade is attached."
Phishing,"John Wayne <finance@coinsecure.biz>","ceo@company.com","Invest now and double your returns","Hi CEO,\nYou’ve been pre-selected to invest in a high-yield crypto opportunity. Act fast before it closes!"
Legitimate,"LinkedIn <messages-noreply@linkedin.com>","pro@domain.com","[Name] sent you a message","Hi, I saw your profile and wanted to connect. Let's talk sometime soon."
Phishing,"Claims <insurance@claim-now.info>","user@domain.com","Re: Unclaimed Insurance Funds","We noticed unclaimed funds under your name. Click below to claim today: http://insurance-claimnow.co"
Legitimate,"Course Admin <admin@onlinecourses.org>","student@domain.com","Assignment Deadline","Reminder: Your assignment for AI Ethics is due on Friday night. Submit it via the portal."
Phishing,"Urgent Notice <alert@z0om-support.net>","employee@company.com","Account Suspension","Your account is pending suspension. Log in immediately to keep access: http://z00m-admin-login.com"
Phishing,"Google Support <googIe.alerts@gmail.com>","admin@company.com","Security Warning","Suspicious login detected. Secure your account now: http://secure-gogIe-login.com"
Phishing,"IT Support <support.it@outlooksecurity.com>","user@company.com","URGENT: Reset Your Password","Your email has been compromised. Click the link to reset your password immediately: http://fake-reset.com"
